number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_dropout,params_img_size,params_lr,params_optimizer,params_scheduler,params_weight_decay,state
0,0.4135192930698395,2026-08-04 00:28:46.836629,2026-08-04 00:32:34.937117,0 days 00:03:48.100488,16,16,0.4464704583099741,224,0.0001329291894316216,adamw,cosine,2.9380279387035354e-06,COMPLETE
1,0.21599841117858887,2026-08-04 00:32:34.958365,2026-08-04 00:37:45.691317,0 days 00:05:10.732952,16,64,0.15579754426081674,256,3.511356313970405e-05,sgd,cosine,1.9762189340280066e-05,COMPLETE
2,0.24584943056106567,2026-08-04 00:37:45.707006,2026-08-04 00:56:51.815664,0 days 00:19:06.108658,48,32,0.4233589392465845,256,0.0005987474910461401,sgd,cosine,1.5673095467235414e-06,COMPLETE
3,0.34188520908355713,2026-08-04 00:56:51.831796,2026-08-04 01:07:32.294477,0 days 00:10:40.462681,48,16,0.17394178221021084,192,1.2681352169084594e-05,sgd,cosine,8.61257919259488e-06,COMPLETE
4,0.19313602149486542,2026-08-04 01:07:32.313887,2026-08-04 01:22:48.322697,0 days 00:15:16.008810,48,64,0.2427013306774357,224,1.8427970406864546e-05,sgd,cosine,1.4656553886225336e-05,COMPLETE
5,0.5951752662658691,2026-08-04 01:22:48.338876,2026-08-04 01:27:57.563974,0 days 00:05:09.225098,16,64,0.12961786069363615,256,0.0020736445177905022,sgd,cosine,0.00013199942261535007,COMPLETE
6,0.5145357847213745,2026-08-04 01:27:57.583075,2026-08-04 01:37:58.323476,0 days 00:10:00.740401,32,32,0.38529791488919807,256,8.569331925053983e-05,adamw,cosine,0.0004588156549160974,COMPLETE
7,0.0931113064289093,2026-08-04 01:37:58.339998,2026-08-04 01:38:49.376946,0 days 00:00:51.036948,32,64,0.19971689165954998,224,1.1919481947918725e-05,sgd,cosine,8.771380343280564e-06,PRUNED
8,0.5198505520820618,2026-08-04 01:38:49.390181,2026-08-04 01:54:03.604522,0 days 00:15:14.214341,48,64,0.31573689676626027,224,0.006153085601625313,sgd,cosine,0.0002576417442523316,COMPLETE
9,0.4172514081001282,2026-08-04 01:54:03.624355,2026-08-04 02:04:36.623942,0 days 00:10:32.999587,48,16,0.2350460685614512,192,0.00284475125551182,adamw,cosine,1.7874463256238412e-05,COMPLETE
10,0.6931139230728149,2026-08-04 02:04:36.644470,2026-08-04 02:09:47.551402,0 days 00:05:10.906932,16,64,0.10844535393552791,256,0.0008046987228219532,adamw,cosine,0.00012256131445687298,COMPLETE
11,0.615257978439331,2026-08-04 02:09:47.571252,2026-08-04 02:14:59.031499,0 days 00:05:11.460247,16,64,0.10233992212865979,256,0.0008201915027201746,adamw,cosine,0.00010565210604656706,COMPLETE
12,0.7572134733200073,2026-08-04 02:14:59.047904,2026-08-04 02:20:09.929426,0 days 00:05:10.881522,16,64,0.10174409430044837,256,0.00048641306190326473,adamw,cosine,7.976225717306096e-05,COMPLETE
13,0.738005518913269,2026-08-04 02:20:09.947465,2026-08-04 02:25:21.327452,0 days 00:05:11.379987,16,64,0.11343435397378887,256,0.00038312163647116824,adamw,cosine,6.39535676735501e-05,COMPLETE
14,0.5899046659469604,2026-08-04 02:25:21.343775,2026-08-04 02:30:33.764420,0 days 00:05:12.420645,16,64,0.21278148546196676,256,0.00023666483062670949,adamw,cosine,4.932987762056126e-05,COMPLETE
