number,value,datetime_start,datetime_complete,duration,params_base_filters,params_batch_size,params_dropout,params_img_size,params_lr,params_optimizer,params_scheduler,params_weight_decay,state
0,0.3810526430606842,2026-07-31 22:46:35.610428,2026-07-31 22:50:39.934184,0 days 00:04:04.323756,16,16,0.4464704583099741,224,0.0001329291894316216,adamw,cosine,2.9380279387035354e-06,COMPLETE
1,0.15333256125450134,2026-07-31 22:50:39.963633,2026-07-31 22:56:04.069264,0 days 00:05:24.105631,16,64,0.15579754426081674,256,3.511356313970405e-05,sgd,cosine,1.9762189340280066e-05,COMPLETE
2,0.31442177295684814,2026-07-31 22:56:04.089880,2026-07-31 23:15:05.463353,0 days 00:19:01.373473,48,32,0.4233589392465845,256,0.0005987474910461401,sgd,cosine,1.5673095467235414e-06,COMPLETE
3,0.2852715253829956,2026-07-31 23:15:05.485292,2026-07-31 23:25:46.990353,0 days 00:10:41.505061,48,16,0.17394178221021084,192,1.2681352169084594e-05,sgd,cosine,8.61257919259488e-06,COMPLETE
4,0.15966127812862396,2026-07-31 23:25:47.020559,2026-07-31 23:41:07.720706,0 days 00:15:20.700147,48,64,0.2427013306774357,224,1.8427970406864546e-05,sgd,cosine,1.4656553886225336e-05,COMPLETE
5,0.617702305316925,2026-07-31 23:41:07.739913,2026-07-31 23:46:30.531835,0 days 00:05:22.791922,16,64,0.12961786069363615,256,0.0020736445177905022,sgd,cosine,0.00013199942261535007,COMPLETE
6,0.4809749722480774,2026-07-31 23:46:30.555842,2026-07-31 23:56:38.578944,0 days 00:10:08.023102,32,32,0.38529791488919807,256,8.569331925053983e-05,adamw,cosine,0.0004588156549160974,COMPLETE
7,0.07064234465360641,2026-07-31 23:56:38.599616,2026-07-31 23:57:29.070590,0 days 00:00:50.470974,32,64,0.19971689165954998,224,1.1919481947918725e-05,sgd,cosine,8.771380343280564e-06,PRUNED
8,0.4658326208591461,2026-07-31 23:57:29.088310,2026-08-01 00:12:45.493582,0 days 00:15:16.405272,48,64,0.31573689676626027,224,0.006153085601625313,sgd,cosine,0.0002576417442523316,COMPLETE
9,0.3510363698005676,2026-08-01 00:12:45.513370,2026-08-01 00:23:14.290153,0 days 00:10:28.776783,48,16,0.2350460685614512,192,0.00284475125551182,adamw,cosine,1.7874463256238412e-05,COMPLETE
