number,value,datetime_start,datetime_complete,duration,params_arch,params_batch_size,params_dropout,params_img_size,params_lr,params_optimizer,params_scheduler,params_weight_decay,state
0,0.9342410564422607,2026-08-01 02:03:28.624800,2026-08-01 02:08:50.634408,0 days 00:05:22.009608,resnet50,16,0.4464704583099741,224,0.0001329291894316216,adamw,cosine,2.9380279387035354e-06,COMPLETE
1,0.33158040046691895,2026-08-01 02:08:50.657903,2026-08-01 02:15:08.273939,0 days 00:06:17.616036,resnet50,64,0.15579754426081674,256,3.511356313970405e-05,sgd,cosine,1.9762189340280066e-05,COMPLETE
2,0.9139498472213745,2026-08-01 02:15:08.293953,2026-08-01 02:22:45.196897,0 days 00:07:36.902944,convnext_tiny,32,0.4233589392465845,256,0.0005987474910461401,sgd,cosine,1.5673095467235414e-06,COMPLETE
3,0.7046347856521606,2026-08-01 02:22:45.214727,2026-08-01 02:28:00.367536,0 days 00:05:15.152809,convnext_tiny,16,0.17394178221021084,192,1.2681352169084594e-05,sgd,cosine,8.61257919259488e-06,COMPLETE
4,0.5368342399597168,2026-08-01 02:28:00.385562,2026-08-01 02:34:25.788162,0 days 00:06:25.402600,convnext_tiny,64,0.2427013306774357,224,1.8427970406864546e-05,sgd,cosine,1.4656553886225336e-05,COMPLETE
5,0.8667515516281128,2026-08-01 02:34:25.808796,2026-08-01 02:40:51.934928,0 days 00:06:26.126132,resnet50,64,0.12961786069363615,256,0.0020736445177905022,sgd,cosine,0.00013199942261535007,COMPLETE
6,0.9218177199363708,2026-08-01 02:40:51.956382,2026-08-01 02:46:12.723585,0 days 00:05:20.767203,efficientnet_b0,32,0.38529791488919807,256,8.569331925053983e-05,adamw,cosine,0.0004588156549160974,COMPLETE
7,0.19868963956832886,2026-08-01 02:46:12.742973,2026-08-01 02:46:58.642342,0 days 00:00:45.899369,efficientnet_b0,64,0.19971689165954998,224,1.1919481947918725e-05,sgd,cosine,8.771380343280564e-06,PRUNED
8,0.9167167544364929,2026-08-01 02:46:58.659382,2026-08-01 02:52:57.487194,0 days 00:05:58.827812,convnext_tiny,64,0.31573689676626027,224,0.006153085601625313,sgd,cosine,0.0002576417442523316,COMPLETE
9,0.06352605670690536,2026-08-01 02:52:57.506414,2026-08-01 02:53:29.382341,0 days 00:00:31.875927,convnext_tiny,16,0.2350460685614512,192,0.00284475125551182,adamw,cosine,1.7874463256238412e-05,PRUNED
10,0.9235393404960632,2026-08-01 02:53:29.399243,2026-08-01 02:58:55.226992,0 days 00:05:25.827749,resnet50,16,0.4904657594472412,224,0.00028284230694934246,adamw,cosine,1.053517994552274e-06,COMPLETE
11,0.9381904602050781,2026-08-01 02:58:55.245810,2026-08-01 03:04:21.578748,0 days 00:05:26.332938,resnet50,16,0.4870617333067502,224,0.00024162626701440854,adamw,cosine,1.0254901368331829e-06,COMPLETE
12,0.9199724197387695,2026-08-01 03:04:21.601384,2026-08-01 03:09:47.898134,0 days 00:05:26.296750,resnet50,16,0.48563547446139954,224,0.00017300521597318882,adamw,cosine,3.0210752570094987e-06,COMPLETE
